train_number,train_name,source,destination,running_days
22410,GAYA GARIB RATH,ANAND VIHAR TRM,GAYA JN,10
22541,ANVT GARIB RATH,BANARAS,ANAND VIHAR TRM,1001
22883,PURI YPR G RATH,PURI,YESVANTPUR JN,100
22884,PURI GARIB RATH,YESVANTPUR JN,PURI,10
12021,BBN JANSHATABDI,HOWRAH JN,BARABIL,1111111
12035,PURNAGIRI JSHT,TANAKPUR,DELHI,1111111
12022,BBN JANSHATABDI,BARABIL,HOWRAH JN,1111111
12038,SIDDHABALI EXP,DELHI,KOTDWARA,1111111
12037,SIDDHABALI EXP,KOTDWARA,DELHI,1111111
12048,GHY JANSHATABDI,NORTH LAKHIMPUR,GUWAHATI,110000
12047,NLP JANSHATABDI,GUWAHATI,NORTH LAKHIMPUR,110000
12036,PURNAGIRI JSHT,DELHI,TANAKPUR,1111111
12051,MAO JANSHATABDI,C SHIVAJI TERM MUMBAI,MADGAON,1111111
12055,DDN JANSHTBDI,NEW DELHI,DEHRADUN,1111111
12052,CSMT JANSHTABDI,MADGAON,C SHIVAJI TERM MUMBAI,1111111
12057,DLPC JANSHTABDI,NEW DELHI,DAULATPUR CHOWK,1111111
12056,NDLS JANSHATABDI,DEHRADUN,NEW DELHI,1111111
12058,NDLS JANSHTBADI,DAULATPUR CHOWK,NEW DELHI,1111111
12059,NZM JAN SHATABDI,KOTA JN,H NIZAMUDDIN,1111111
12060,KOTA JANSHTBDI,H NIZAMUDDIN,KOTA JN,1111111
12061,JBP JANSHATABDI,RANI KAMLAPATI,JABALPUR,1111111
